month,A->B,B->A,B->C,B->I,C->D,C->E,C->K,D->C,E->F,E->G,E->M,F->E,G->B,G->H,G->O,H->G,I->J,J->C,J->Q,K->L,L->E,L->Q,M->N,N->G,N->Q,O->P,P->B,P->Q,Q->B,Q->C,Q->E,Q->G,Q->I,Q->K,Q->M,Q->O
1.00 ,41313.00 ,101246.00 ,49721.00 ,0.00 ,7899.00 ,100975.00 ,0.00 ,59153.00 ,68601.00 ,136824.00 ,0.00 ,104450.00 ,109654.00 ,34441.00 ,0.00 ,7271.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2.00 ,40177.00 ,828327.00 ,45976.00 ,0.00 ,5400.00 ,86171.00 ,0.00 ,45595.00 ,51180.00 ,865384.00 ,0.00 ,830393.00 ,834126.00 ,36211.00 ,0.00 ,4953.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3.00 ,34597.00 ,517700.00 ,40700.00 ,0.00 ,5531.00 ,83767.00 ,0.00 ,48598.00 ,43384.00 ,560321.00 ,0.00 ,519938.00 ,523803.00 ,41709.00 ,0.00 ,5191.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
4.00 ,34529.00 ,963985.00 ,43191.00 ,0.00 ,8207.00 ,226387.00 ,0.00 ,191403.00 ,42484.00 ,1150371.00 ,0.00 ,966468.00 ,972647.00 ,185294.00 ,0.00 ,7570.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5.00 ,29071.00 ,909595.00 ,35493.00 ,0.00 ,5782.00 ,71519.00 ,0.00 ,41808.00 ,33508.00 ,950499.00 ,0.00 ,912488.00 ,916017.00 ,39671.00 ,0.00 ,5189.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
6.00 ,28950.00 ,795426.00 ,34439.00 ,0.00 ,5086.00 ,71106.00 ,0.00 ,41753.00 ,36622.00 ,832388.00 ,0.00 ,797904.00 ,800915.00 ,35885.00 ,0.00 ,4412.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
7.00 ,29432.00 ,25298.00 ,37385.00 ,0.00 ,7534.00 ,67380.00 ,0.00 ,37529.00 ,33725.00 ,62337.00 ,0.00 ,28682.00 ,33251.00 ,35157.00 ,0.00 ,6071.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
8.00 ,27295.00 ,23960.00 ,34453.00 ,0.00 ,7206.00 ,67303.00 ,0.00 ,40056.00 ,35327.00 ,56889.00 ,0.00 ,24913.00 ,31118.00 ,31940.00 ,0.00 ,6169.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9.00 ,40712.00 ,36593.00 ,45649.00 ,0.00 ,5003.00 ,78169.00 ,0.00 ,37523.00 ,45300.00 ,70307.00 ,0.00 ,37438.00 ,41530.00 ,32812.00 ,0.00 ,4035.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
10.00 ,34684.00 ,36505.00 ,40523.00 ,0.00 ,5888.00 ,75791.00 ,0.00 ,41156.00 ,39416.00 ,73858.00 ,0.00 ,37483.00 ,42344.00 ,36337.00 ,0.00 ,4823.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
11.00 ,41249.00 ,36881.00 ,47880.00 ,0.00 ,6700.00 ,79060.00 ,0.00 ,37880.00 ,46063.00 ,70771.00 ,0.00 ,37774.00 ,43512.00 ,32938.00 ,0.00 ,5679.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
12.00 ,42110.00 ,37270.00 ,47154.00 ,0.00 ,5084.00 ,83702.00 ,0.00 ,41632.00 ,45536.00 ,76306.00 ,0.00 ,38140.00 ,42314.00 ,38139.00 ,0.00 ,4147.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
13.00 ,27278.00 ,23671.00 ,36751.00 ,0.00 ,9556.00 ,122638.00 ,0.00 ,95443.00 ,30881.00 ,116236.00 ,0.00 ,24479.00 ,33144.00 ,91664.00 ,0.00 ,8572.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
14.00 ,26157.00 ,23103.00 ,39756.00 ,0.00 ,13649.00 ,376110.00 ,0.00 ,350003.00 ,29912.00 ,370237.00 ,0.00 ,24039.00 ,36702.00 ,346162.00 ,0.00 ,12627.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
15.00 ,19827.00 ,286721.00 ,35174.00 ,0.00 ,15398.00 ,440415.00 ,0.00 ,420639.00 ,23453.00 ,704442.00 ,0.00 ,287480.00 ,302068.00 ,416905.00 ,0.00 ,14531.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
16.00 ,19397.00 ,252203.00 ,31731.00 ,0.00 ,12381.00 ,289807.00 ,0.00 ,270457.00 ,23821.00 ,519067.00 ,0.00 ,253081.00 ,264537.00 ,265952.00 ,0.00 ,11422.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
17.00 ,27174.00 ,177863.00 ,35011.00 ,0.00 ,7924.00 ,107658.00 ,0.00 ,80571.00 ,30825.00 ,255543.00 ,0.00 ,178710.00 ,185700.00 ,76760.00 ,0.00 ,6917.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
18.00 ,28281.00 ,23926.00 ,33785.00 ,0.00 ,5544.00 ,67540.00 ,0.00 ,39299.00 ,32135.00 ,60264.00 ,0.00 ,24859.00 ,29430.00 ,35377.00 ,0.00 ,4543.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
19.00 ,25951.00 ,18410.00 ,30865.00 ,0.00 ,4996.00 ,60794.00 ,0.00 ,34925.00 ,29572.00 ,50447.00 ,0.00 ,19225.00 ,23324.00 ,31149.00 ,0.00 ,4026.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
20.00 ,28695.00 ,24036.00 ,34023.00 ,0.00 ,5380.00 ,66681.00 ,0.00 ,38038.00 ,32615.00 ,59053.00 ,0.00 ,24987.00 ,29364.00 ,34032.00 ,0.00 ,4343.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
21.00 ,15198.00 ,10402.00 ,28601.00 ,0.00 ,13499.00 ,123429.00 ,0.00 ,108327.00 ,89545.00 ,53356.00 ,0.00 ,19472.00 ,23805.00 ,33806.00 ,0.00 ,4255.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
22.00 ,15528.00 ,9061.00 ,29650.00 ,0.00 ,14176.00 ,58168.00 ,0.00 ,42694.00 ,19602.00 ,48567.00 ,0.00 ,10001.00 ,23183.00 ,38529.00 ,0.00 ,13145.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
