month,A->D,A->F,A->H,D->A,D->F,D->H,F->A,F->D,F->H,H->A,H->D,H->F
1.00 ,72.00 ,41241.00 ,0.00 ,61.00 ,26779.00 ,32313.00 ,101184.00 ,1138.00 ,2128.00 ,1.00 ,6689.00 ,581.00 
2.00 ,52.00 ,40125.00 ,0.00 ,39.00 ,10604.00 ,34952.00 ,828287.00 ,847.00 ,1259.00 ,1.00 ,4501.00 ,451.00 
3.00 ,72.00 ,34525.00 ,0.00 ,61.00 ,8215.00 ,40322.00 ,517638.00 ,913.00 ,1387.00 ,1.00 ,4546.00 ,644.00 
4.00 ,43.00 ,34486.00 ,0.00 ,29.00 ,7500.00 ,183874.00 ,963955.00 ,1093.00 ,1420.00 ,1.00 ,7071.00 ,498.00 
5.00 ,95.00 ,28976.00 ,0.00 ,87.00 ,3797.00 ,37924.00 ,909507.00 ,1234.00 ,1747.00 ,1.00 ,4453.00 ,735.00 
6.00 ,69.00 ,28881.00 ,0.00 ,56.00 ,7269.00 ,34428.00 ,795369.00 ,1078.00 ,1457.00 ,1.00 ,3939.00 ,472.00 
7.00 ,61.00 ,29371.00 ,0.00 ,69.00 ,3874.00 ,33586.00 ,25228.00 ,1883.00 ,1571.00 ,1.00 ,5590.00 ,480.00 
8.00 ,53.00 ,27242.00 ,0.00 ,39.00 ,8080.00 ,31937.00 ,23920.00 ,990.00 ,3.00 ,1.00 ,6163.00 ,5.00 
9.00 ,72.00 ,40640.00 ,0.00 ,62.00 ,4654.00 ,32807.00 ,36530.00 ,903.00 ,5.00 ,1.00 ,4028.00 ,6.00 
10.00 ,53.00 ,34631.00 ,0.00 ,40.00 ,4781.00 ,36335.00 ,36464.00 ,1017.00 ,2.00 ,1.00 ,4818.00 ,4.00 
11.00 ,73.00 ,41176.00 ,0.00 ,63.00 ,4883.00 ,32934.00 ,36817.00 ,953.00 ,4.00 ,1.00 ,5674.00 ,4.00 
12.00 ,43.00 ,42067.00 ,0.00 ,29.00 ,3466.00 ,38137.00 ,37240.00 ,898.00 ,2.00 ,1.00 ,4143.00 ,3.00 
13.00 ,87.00 ,27191.00 ,0.00 ,97.00 ,3686.00 ,91660.00 ,23573.00 ,902.00 ,4.00 ,1.00 ,8567.00 ,4.00 
